cod_bna,nombre,tipo_estacion,vigencia,region,comuna,cuenca,altitud,latitud,longitud
05422003-0,Llay Llay (1),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,382,-32.84360942,-70.96017932
05422005-7,A.P. Llay Llay (2),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,383,-32.84472487,-70.95805645
05422006-5,Apr Las Palmas-San Felipe,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,0,-32.84940551,-70.98039286
05423001-K,Canal Las Vegas En Bocatoma,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,320,-32.84047973,-71.02586408
05423003-6,Rio Aconcagua En Romeral,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,365,-32.84011582,-71.02550328
05423004-4,Estero Romeral Antes Junta Rio Aconcagua,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,544,-32.82509841,-71.05384066
05423005-2,Rio Aconcagua En Panamericana,Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,210,-32.84435802,-71.1039611
05423006-0,Estero Rabuco En Fundo Rabuco,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,300,-32.86947102,-71.11798667
05423007-9,Estero Rabuco Antes Rio Aconcagua,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,290,-32.85384666,-71.11882252
05423008-7,Canal Melon En Bocatoma,Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,210,-32.85049953,-71.11677711
05423009-5,Canal Comunidad Hijuela En Bocatoma,Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,210,-32.85049953,-71.11677711
05423010-9,Canal Comunidad Purutun En Bocatoma,Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,210,-32.85049953,-71.11677711
05423011-7,Canal Puntilla Torrejon En Bocatoma,Fluviométricas,Suspendidas,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,210,-32.85049953,-71.11677711
05423012-5,Cerro El Roble,Nivométricas,Suspendidas,Región de Valparaíso,Comuna de Llaillay,Rio Aconcagua,2200,-32.97606606,-71.01205073
05423013-3,Estero Rabuco,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,300,-32.8534737,-71.12060859
05423014-1,Fundo Florence,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,281,-32.83946724,-71.1212261
05423015-K,Rabuco (1),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,307,-32.8731217,-71.10740834
05423016-8,Parcela 5,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Calera,Rio Aconcagua,202,-32.79716832,-71.20547884
05423017-6,Asentamiento Manuel Rodriguez (1),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,249,-32.82405655,-71.14548902
05423018-4,Asentamiento La Sombra,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,345,-32.81523187,-71.05552522
05423019-2,Pozo Rabuco (2),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,294,-32.86077133,-71.11569622
05423020-6,Fundo Esperanza,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,0,-32.85383952,-71.10214426
05423021-4,Asentamiento Manuel Rodriguez (2),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,0,-32.81383945,-71.15491881
05423022-2,Asentamiento Los Aromos,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,335,-32.82806788,-71.08206483
05423023-0,Asentamiento Manuel Rodriguez (3),Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,252,-32.80664879,-71.146715
05423024-9,Asentamiento Romeral,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,353,-32.82884349,-71.02547156
05423025-7,Apr Hualcapo,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,0,-32.88079479,-71.09621849
05424002-3,Estero El Litre Antes Rio Aconcagua (Ca),Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Calera,Rio Aconcagua,205,-32.7711487,-71.20308605
05424003-1,Estero El Cobre En Puente Mina (Ca),Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,350,-32.65383408,-71.15213637
05424004-K,Estero El Cobre Despues Relave Mina El Soldado,Calidad de Aguas,Suspendidas,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,330,-32.65049609,-71.15010562
05424005-8,El Cobre,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,280,-32.65355228,-71.19649701
05424006-6,Pucalan De Nogales,Control de Nivel,Suspendidas,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,235,-32.71654211,-71.19913908
05424007-4,Asentamiento Nogales,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,235,-32.7167592,-71.19910174
05424008-2,Asentamiento El Melon,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,246,-32.69166388,-71.19693963
05424010-4,Fundo El Carmen,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,216,-32.76189317,-71.17176756
05424012-0,Conchali,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de Hijuelas,Rio Aconcagua,235,-32.79431312,-71.15662562
05424013-9,Pozo Dren Los Caleos,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,0,-32.65355595,-71.19577221
05424014-7,Apr La Peña,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,0,-32.75155067,-71.16127148
05424015-5,Apr Los Caleos,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,0,-32.6615344,-71.21080744
05424016-3,Apr Parceleros El Melón,Calidad de Aguas,Vigentes,Región de Valparaíso,Comuna de Nogales,Rio Aconcagua,0,-32.6902243,-71.19983707
05425002-9,Rio Aconcagua En Puente Lo Rojas,Fluviométricas,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,170,-32.81722239,-71.24361966
05425003-7,Lo Rojas,Meteorológicas,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,190,-32.81364537,-71.25048175
05425004-5,Callejon Zaravia,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,198,-32.81845292,-71.22723603
05425005-3,Calle Santa Maria,Control de Nivel,Vigentes,Región de Valparaíso,Comuna de La Cruz,Rio Aconcagua,161,-32.83661357,-71.22882185
