cod_estacion,institucion,nombre,comuna,region,latitud,longitud
124,FDF,Cunco,Cunco,Araucanía,-39.006666666999998,-72.251388888999998
125,FDF,Pocoyan,Teodoro Schmidt,Araucanía,-38.9925,-73.098888888999994
126,FDF,Nueva Imperial,Nueva Imperial,Araucanía,-38.761388889000003,-72.877499999999998
127,FDF,Freire,Freire,Araucanía,-38.971388889000004,-72.784166666999994
128,FDF,Loncoche,Pucón,Araucanía,-39.393333333000001,-72.636666667
129,FDF,Gorbea,Gorbea,Araucanía,-39.103055556000001,-72.615277778000006
130,FDF,Pucon,Loncoche,Araucanía,-39.355833333,-71.781388888999999
131,FDF,Mariquina,Mariquina,Los Ríos,-39.620833333,-73.073333332999994
132,FDF,MAFIL,Máfil,Los Ríos,-39.631388889,-72.948333332999994
133,FDF,Paillaco,Paillaco,Los Ríos,-40.096388889000004,-72.926666667000006
135,FDF,Río Bueno,La Unión,Los Ríos,-40.322777778000003,-72.979444443999995
136,FDF,La Union,La Unión,Los Ríos,-40.316666667,-73.024166667000003
137,FDF,Osorno,Osorno,Los Lagos,-40.533333333000002,-73.072500000000005
138,FDF,Purranque,Purranque,Los Lagos,-40.879444444000001,-73.052499999999995
140,FDF,Río Negro,Río Negro,Los Lagos,-40.764722222000003,-73.151944443999994
142,FDF,Aysén,Aysén,Aysén,-45.431944444000003,-72.714444443999994
143,FDF,Coyhaique,Coyhaique,Aysén,-45.739722221999997,-72.125833333000003
144,INIA,Azapa Alto,Arica,Arica y Parinacota,-18.577453833,-69.947264000000004
145,INIA,Lago Chungará,Putre,Arica y Parinacota,-18.281824,-69.138499832999997
146,INIA,Colonia JF Lluta Bajo,Arica,Arica y Parinacota,-18.413709832999999,-70.206109832999999
147,INIA,Lluta Alto,Arica,Arica y Parinacota,-18.393556,-69.963339000000005
148,INIA,Puro Chile - Lluta medio,Arica,Arica y Parinacota,-18.452168,-70.067102000000006
149,INIA,Socoroma,Putre,Arica y Parinacota,-18.263888832999999,-69.607675
150,INIA,Surire,Putre,Arica y Parinacota,-18.794647000000001,-69.084442832999997
